word,definition,translation
teddie,," [男子名] 特迪 Edward,Theodore等的昵称"
teddies,n. plaything consisting of a child's toy bear (usually plush and stuffed with soft materials)\nn. a woman's sleeveless undergarment,n. （流行于20世纪20年代的妇女）连衫衬裤( teddy的复数形式 )
tedding,p. pr. & vb. n. of Ted,v. 翻晒( ted的现在分词 )
Teddington,,特丁顿(英国国立物理研究所所在地)
teddlie,, [人名] 特德利
teddy,n. plaything consisting of a child's toy bear (usually plush and stuffed with soft materials),n. 连衫衬裤；泰迪玩具熊
teddy bear,,n. 玩具熊
Teddy boy,,太保；不良少年
teddy boys,,n. （英国20世纪50年代的）男阿飞，男流氓( Teddy boy的名词复数 )
teddy-bear,,泰迪熊
teddy-bears,plural of teddy-bear,(teddy-bear 的复数) 泰迪熊
teddy-boy,,太保；不良少年
teddy-boys,plural of teddy-boy,(teddy-boy 的复数) 太保；不良少年
teddys,plural of teddy\nn. plaything consisting of a child's toy bear (usually plush and stuffed with soft materials),(teddy 的复数) n. 连衫衬裤；泰迪玩具熊
tedesco,, [人名] 特德斯科
tedford,, [人名] 特德福德
tedge,"n. The gate of a mold, through which the melted metal is\n   poured; runner, geat.",直立物
tedion,,"三氯杀螨砜, 天地红"
tediosity,n. Tediousness.,n. 沉闷；单调乏味；厌烦 (tedium的变形)
tedious,s so lacking in interest as to cause mental weariness\ns using or containing too many words,"a. 沉闷的, 冗长乏味的"
tedious labor,,[医] 滞产
tediously,r in a tedious manner,"adv. 沉闷地, 长而乏味地"
tediousness,n. dullness owing to length or slowness,n. 沉闷；乏味
tedisco,,n. [姓氏]泰迪斯科
tedium,n the feeling of being bored by something tedious\nn dullness owing to length or slowness,"n. 单调乏味, 沉闷"
tedlock,, [人名] 特德洛克
tedlow,, [人名] 特德洛
tedrick,, [人名] 特德里克
Teds,n. a tough youth of 1950's and 1960's wearing Edwardian style clothes,v. 翻晒；撒开（ted的三单形式）
tee,n. the starting place for each hole on a golf course\nn. support holding a football on end and above the ground preparatory to the kickoff\nn. a short peg put into the ground to hold a golf ball off the ground\nv. place on a tee,"n. T字形, T字形之物, 发球区, 球座, 目标\nvt. 搁在球座上\na. T字形的"
tee fluid flow meter,,[化] 三通液体流量计
tee hinge,, t 型铰链
tee joint,,[化] 丁字接头
tee junction,,[电] T形接头
tee name,,[计] 树名
tee off,,"发球, 开始"
tee off on,,"猛烈抨击, 责备"
tee off on sb,,"重击某人, 怒责某人"
tee pipe,,[化] 丁字管; 丁形管
tee shirt,,"n. 短袖圆领男衫, T恤衫"
tee shot,, [体]开球
tee tube,,[电] T形管
tee up,,"把球置于球座上, 安排"
tee welding,,[化] T形焊
tee-hee,,"int. 嘻, 嘿"
tee-slot,,[化] 丁字槽; 丁字形槽
teece,, [人名] 蒂斯
teed,v place on a tee\nv connect with a tee,v. 置（球）于球座上( tee的过去式和过去分词 ); 准备发球; （高尔夫球比赛）开赛; 使生气
teed off,,"发怒的, 恼火的"
teeg,,abbr. technology executive expert group 技术执行专家组
teegarden,, [人名] 蒂加登
teehan,, [人名] 蒂恩
teeing,v place on a tee\nv connect with a tee,v. 置（球）于球座上( tee的现在分词 ); 准备发球; （高尔夫球比赛）开赛; 使生气
teeing ground,,n. （高尔夫球）发球区域
teel,n. Sesame.,(=sesame)[植]芝麻
teel oil,,"[医] 麻油, 芝麻油"
teele,, [人名] 蒂尔
teem,"v. be teeming, be abuzz","vi. 充满, 充足, 倾注\nvt. 倒出"
teem in,,大量存在于：
teem with,,充满
teem with blunders,,错误百出
teemed,imp. & p. p. of Teem,v. 充满( teem的过去式和过去分词 ); 到处都是; （指水、雨等）暴降; 倾注
teemer,"n. One who teems, or brings forth.", 玻璃浇铸工
teemful,a. Pregnant; prolific.\na. Brimful.,"丰产的, 多果的"
teeming,s. abundantly filled with especially living things,"a. 充满的, 群集的, 多产的\n[机] 浇铸"
teemingly,,"adv. 充满地, 多产地, 丰富地"
teemingness,n. the property of a more than adequate quantity or supply,n. teeming的变形
teemless,"a. Not fruitful or prolific; barren; as, a teemless earth.",a. 贫瘠的
teems,"v be teeming, be abuzz\nv move in large numbers",v. 充满( teem的第三人称单数 ); 到处都是; （指水、雨等）暴降; 倾注
teen,n a juvenile between the onset of puberty and maturity\ns being of the age 13 through 19,"n. 愤怒, 悲哀"
teen-age,,"a. 青少年的, 十几岁的少年的"
teen-aged,,"a. 青少年的, 十几岁的少年的"
teen-ager,,"n. 青少年, 十几岁的少女, 十几岁的少年"
teen-agers,, 青少年
teenage,s being of the age 13 through 19,a. 十三岁到十九岁的
teenaged,s being of the age 13 through 19,"a. 青少年的, 十几岁的少年的"
teenager,n a juvenile between the onset of puberty and maturity,n. 十三岁到十九岁的少年
teenagers,n a juvenile between the onset of puberty and maturity,"n. 青少年（13至19岁, teenager的复数）"
teener,s being of the age 13 through 19,"青少年, 十几岁的少年"
teenie,,n. 蒂妮（女子名）
teenier,s. (used informally) very small,"a. <口>极小的, 极微的( teeny的比较级 )"
teenies,plural of teeny\ns (used informally) very small,"(teeny 的复数) a. 极小的, 小小的"
teeniest,s. (used informally) very small,"a. <口>极小的, 极微的( teeny的最高级 )"
teens,n. the time of life between the ages of 12 and 20\nn. all the numbers that end in -teen,n. 十三岁到十九岁
teenster,,"n. 青少年, 十几岁的少年"
teensy,s (used informally) very small,"a. 很小的, 小小的"
teensy-weensiest,superlative of teensy-weensy\ns (used informally) very small,"(teensy-weensy 的最高级) adj. 很小的,微小的,极小的;细微的"
teensy-weensy,s (used informally) very small,"a. 很小的,微小的,极小的;细微的"
teentsy,s (used informally) very small,"a. <口>很小的,小小的[变体]"
teenty,,(=tiny)极小的
teeny,s (used informally) very small,"a. 极小的, 小小的"
teeny bopper,,n. 少女；少女流行音乐迷
teeny-bopper,,n. 新潮少年男女
teeny-boppers,,n. 新潮少年男女
teeny-tiny,,adj. 极小的，极细微的
teeny-weenies,plural of teeny-weeny\ns (used informally) very small,(teeny-weeny 的复数) a. 很小的
teeny-weeny,s (used informally) very small,a. 很小的
teenybop,,a. 十几岁的青少年(尤指女子)的；热衷于时尚和流行音乐的青少年的
teenybopper,,n. 少年颓废派; 少女流行音乐迷; 少女
teenyboppers,plural of teenybopper,(teenybopper 的复数) n. 少年颓废派; 少女流行音乐迷; 少女
teeoff,,na. 从球座发球；开始；痛骂  触怒\n[网络] 开球；愿意为开始发球；实况高尔夫
teep,, [医][=tetraethyl pyrophosphate]焦磷酸四乙酯，特普
teepee,n a Native American tent; usually of conical shape,超视距雷达
teepees,plural of teepee\nn a Native American tent; usually of conical shape,(teepee 的复数) 超视距雷达
teepen,, [人名] 蒂彭
teeple,, [人名] 蒂普尔
teepleite,,氯硼钠石
teeples,, [人名] 蒂普尔斯
Teepol,,阴离子去垢剂[界面活性剂]
teer,, [人名] 蒂尔
tees,n the starting place for each hole on a golf course\nn support holding a football on end and above the ground preparatory to the kickoff\nn a short peg put into the ground to hold a golf ball off the ground\nv place on a tee\nv connect with a tee,n. 高尔夫球的发球台（tee的复数）
teesdale,, [地名] [英国] 蒂斯河谷
Teesside,,蒂赛德（地区）（地名）（英国）
teest,"n. A tinsmith's stake, or small anvil.",abbr. Trans-Europe Express 跨欧洲特快列车[亦作 T-E-E]
teetee,"n. Any one of several species of small, soft-furred South\n   American monkeys belonging to Callithrix, Chrysothrix, and allied\n   genera; as, the collared teetee (Callithrix torquatus), and the\n   squirrel teetee (Chrysothrix sciurea). Called also pinche, titi, and\n   saimiri. See Squirrel monkey, under Squirrel.\nn. A diving petrel of Australia (Halodroma wrinatrix).", 青猴
teeter,"v. move unsteadily, with a rocking motion","vi. 步履不稳地走动, 踉跄, 摇晃, 摇摆不定, 摇摇欲坠, 玩跷跷板\nn. 踉跄, 摇摆, 跷跷板"
teeter bed,,[化] 跷动床
teeter chamber,,[化] 搅拌室
teeter-totter,n a plaything consisting of a board balanced on a fulcrum; the board is ridden up and down by children at either end\nv ride on a plank,n. 跷跷板\nvi. 上下移动
teeterboard,n a plaything consisting of a board balanced on a fulcrum; the board is ridden up and down by children at either end,n. 跷跷板
teetered,imp. & p. p. of Teeter,v. 摇晃地站立或移动( teeter的过去式和过去分词 ); <美>玩跷跷板; 处在（灾难或危险的）边缘; 濒临
teetered bed,,[化] 搅拌床层; 浅流化床层
teetering,"v move unsteadily, with a rocking motion",v. 摇晃地站立或移动( teeter的现在分词 ); <美>玩跷跷板; 处在（灾难或危险的）边缘; 濒临
teeters,"n a plaything consisting of a board balanced on a fulcrum; the board is ridden up and down by children at either end\nv move unsteadily, with a rocking motion",n. 踉跄( teeter的名词复数 ); 摇摆; <美>跷跷板; <鸟>斑鹬\nv. 摇晃地站立或移动( teeter的第三人称单数 ); <美>玩跷跷板; 处在（灾难或危险的）边缘; 濒临
teetertotter,n a plaything consisting of a board balanced on a fulcrum; the board is ridden up and down by children at either end\nv ride on a plank,"n. 跷跷板\nv. 玩跷跷板, 上下晃动"
teetery,,"a. <美>摇晃的,不稳的"
teeth,n the kind and number and arrangement of teeth (collectively) in a person or animal\nn hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense\nn something resembling the tooth of an animal\nn toothlike structure in invertebrates found in the mouth or alimentary canal or on a shell\nn a means of enforcement\nn one of a number of uniform projections on a gear,pl. 牙齿\n[医] 牙
teeth and nail,,竭尽全力地
teeth bicuspid,,"[医] 双尖牙, 前磨牙, 前臼齿"
teeth block,,[医] 牙块
teeth decalcification,,[医] 牙脱钙
teeth indentation,,[医] 牙切迹
teeth primordium,,[医] 牙原基
teeth regression,,[医] 牙退化
teeth spacing,,[化] 齿距
teethe,v. grow teeth; cut the baby teeth,vi. 长牙齿
teethed,imp. & p. p. of Teeth,"v. 出牙, 生乳牙( teethe的过去式和过去分词 )"
teether,,n. (供婴孩长牙时咬的)出牙嚼器
teethes,v grow teeth; cut the baby teeth,"vi. 出牙, 生乳牙（teethe的第三人称单数形式）"
teething,n. the eruption through the gums of baby teeth,"n. 出牙, 出牙现象\n[医] 出牙, 生牙"
teething problems,,"n. （项目、新产品的）初期问题, 萌芽期的困难"
teething ring,,"n. （婴儿长牙时咬的）橡皮环, 塑胶环"
teething troubles,,"初期困难, 创业阶段的困难"
teethridge,,n. 牙槽嵴
teetor,, [人名] 蒂特
teetotal,v. practice teetotalism and abstain from the consumption of alcoholic beverages,"a. 绝对戒酒的, 完全的, 绝对的\nn. 绝对戒酒主义"
teetotaler,n. a total abstainer,"n. 绝对戒酒者, 戒酒主义者"
teetotalism,n abstaining from alcohol,n. 绝对戒酒主义
teetotalist,n. a total abstainer,n. 绝对禁酒者; 禁酒主义者
teetotaller,n a total abstainer,"n. 绝对戒酒主义者, 完全不饮酒者, 绝对戒酒者"
teetotallers,n. a total abstainer,n. 滴酒不沾的人( teetotaller的复数形式 )
teetotally,adv. Entirely; totally.,adv. teetotal的变形
teetotum,n a conical child's plaything tapering to a steel point on which it can be made to spin,"n. 手转陀螺, 四方陀螺"
teets,, [人名] 蒂茨
Teevan's law,,[医] 提万氏定律(骨折)
teevee,,n. 电视
tef,, [医][=thermic effect of food]食物产热效应
teff,n. an African grass economically important as a cereal grass (yielding white flour of good quality) as well as for forage and hay,n. （非洲产的）埃塞俄比亚画眉草（系粮食作物）
teff grass,,[网络] teff草
tefft,, [人名] 特夫特
tefillin,n (Judaism) either of two small leather cases containing texts from the Hebrew Scriptures (known collectively as tefillin); traditionally worn (on the forehead and the left arm) by Jewish men during morning prayer,[复] n.[有时用作单](犹太教) 经文护符匣
tefiphone,,"泰飞风, 循环磁带放音机"
TEFL,,"abbr.Teaching English as a Foreign Language,作为外语的英语教学"
teflon,n. a material used to coat cooking utensils and in industrial applications where sticking is to be avoided,"[化] 聚四氟乙烯\n[医] 塔夫纶, 聚四氟乙烯(商品名,用于外科的塑料)"
teflon compensator,,[化] 聚四氟乙烯补偿器; 聚四氟乙烯膨胀圈
teflon heat exchanger,,[化] 聚四氟乙烯换热器
teflon seal,,[化] 聚四氟乙烯密封(件)
teflurane,,[化] 替氟烷; 溴四氟乙烷
tefra,,abbr. Tax Equity and Fiscal Responsibility Act 税务平衡和财务责任法案
Tefzel,,乙烯-四氟乙烯共聚物
teg,n. two-year-old sheep,n. 两岁的羊
tega,,abbr. triethylgallium 三乙基镓
tegafur,,[化] 替加氟; 喃氟啶; 呋氟尿嘧啶
tegestology,,n. 啤酒杯垫子的收集
teggett,,初剪毛
tegillate,,具被层的
tegillum,,侧毛斑(金龟子幼虫)
tegin,,[医] 硬脂酸甘油酯
tegmen,"n. A tegument or covering.\nn. The inner layer of the coating of a seed, usually thin and\n   delicate; the endopleura.\nn. One of the elytra of an insect, especially of certain\n   Orthoptera.\nn. Same as Tectrices.",[医] 盖
tegmen antri,,[医] 鼓室盖
tegmen cellulae,,[医] 乳突盖
tegmen cruris,,[医] 大脑脚盖
tegmen mastoides-tympanicum,,[医] 乳突鼓室盖
tegmen mastoideum,,[医] 乳突盖
tegmen oris,,[医] 口盖
tegmen tympani,,[医] 鼓室盖
tegmen ventriculorum,,[医] 半卵圆中心
tegmen ventriruli quarti,,[医] 第四脑室盖
tegmenta,pl.  of Tegmentum,n. 被盖；大脑脚盖；芽鳞 (tegmentum的变形)
tegmental,"a. Of or pertaining to a tegument or tegmentum; as, the\n   tegmental layer of the epiblast; the tegmental cells of the taste buds.",[医] 盖的
tegmental cells,,[医] 被盖细胞
tegmental region,,[医] 被盖区
tegmental syndrome,,[医] 中脑被盖综合征(半身不遂、眼运动障碍)
tegmental tract,,[医] 被盖束
tegmentalis radiatio,,[医] 被盖辐射线
tegmento-olivary tract,,[医] 被盖橄榄束
tegmentospinal tract,,"[医] 被盖脊髓束, 网状脊髓束"
tegmentum,n. A covering; -- applied especially to the bundles of\n   longitudinal fibers in the upper part of the crura of the cerebrum.,被盖
tegmentum auris,,[医] 鼓膜
tegmentum rhombencephali,,[医] 菱脑盖
tegmina,pl.  of Tegmen,tegmen的复数
Tego,,铅基轴承合金
tegopen,,[化] 氯唑西林; 氯唑青霉素
tegretal,,[化] 卡马西平; 酰胺咪嗪
tegretol,,[化] 卡马西平; 酰胺咪嗪
Tegucigalpa,n the capital and largest city of Honduras,特古西加尔巴[洪都拉斯首都]
teguexin,"n. A large South American lizard (Tejus teguexin). It\n   becomes three or four feet long, and is blackish above, marked with\n   yellowish spots of various sizes. It feeds upon fruits, insects,\n   reptiles, young birds, and birds' eggs. The closely allied species\n   Tejus rufescens is called red teguexin.", 斑点树栖蜥
tegula,n. A small appendage situated above the base of the wings of\n   Hymenoptera and attached to the mesonotum.,[建]具有装饰性外形的瓦
tegulae,pl.  of Tegula, 翅基片
tegular,a. of or relating to or resembling a series of tiles,"a. 瓦的, 瓦状的"
tegument,n a natural protective body covering and site of the sense of touch,"n. 皮, 外皮, 天然壳\n[医] 体被, 皮肤"
tegumental,,"[医] 体被的, 皮肤的"
tegumentary,a. Of or pertaining to a tegument or teguments;\n   consisting of teguments; serving as a tegument or covering.,"[医] 体被的, 皮肤的"
tegumentary epithelium,,[医] 表皮
teh,,abbr. test equipment hook-up 测试设备接线图，试验设备连接装置
tehachapi,, [地名] [美国] 蒂哈查皮
tehama,, [地名] [美国] 蒂黑马
tehee,,"interj. 嘻, 嘿\nn. 窃笑声\nvi. 窃笑, 小声笑"
Teheran,n. the capital and largest city of Iran; located in northern Iran,n. 德黑兰
tehr,,"n. [动](喜马拉雅山等地产的)塔尔羊(有弯角,长粗毛)"
tehran,n the capital and largest city of Iran; located in northern Iran,n. 德黑兰
tehren conference,,[法] 德黑兰会议
tehsil,,"n. 区(印度行政区名称,税收区划单位)"
Tehuantepec,,特旺特佩克地峡[墨西哥东南部]
tehuantepecer,,特旺特佩克风
Tehuelche,,"(pl.Tehuelche, Tehuelches)德卫尔彻人(南美巴塔哥尼亚的主要土著民族)"
tei,,abbr. 终端设备标识符（Terminal Equipment Identifier）\nn. (Tei)人名；(英)泰；(意)泰伊
teich,, [人名] 泰奇; [地名] 池（德语）
teicher,, [人名] 泰歇
teichman,, [人名] 泰克曼
Teichmann's crystals,,[医] 太希曼氏结晶(氯化血红素结晶)
Teichmann's networks,,"[医] 太希曼氏网状结构(胃壁淋巴丛,胃壁淋巴管网)"
Teichmann's test,,[医] 太希曼氏试验(检血)
teichner,, [人名] 泰希纳
teichoic acid,,[化] 磷壁酸\n[医] 壁酸(为细胞型成分之一)
teicholytic enzyme,,[化] 磷壁(酸)质分解酶
teichopsia,,闪光暗点
teichuronic acid,,[化] 糖醛酸磷壁(酸)质
teiecardiography,,[医] 远距心[动]电[流]描记法
teigen,, [人名] 泰根; [地名] [美国] 泰根
teigitur,,[宗]“因此你...”(天主教弥撒主祷文的开始二词)
teiglach,,"(=taiglach, teiglech)用蜂蜜煮熟的小块面团"
Teignmouth,,廷茅斯
teiid,n tropical New World lizard with a long tail and large rectangular scales on the belly and a long tail,n. & adj.[动]臼齿蜥(的)
teiid lizard,, [医]臼齿蜥属
Teiidae,n. whiptails; etc.,叉舌蜥科
teil,"n. The lime tree, or linden; -- called also teil tree.",(=teil tres)[植](欧洲)菩提树
teilchron,,地方时
Teilhard de Chardin,,[网络] 德日进；德日进神父；法国人德日进
Teilhardian,,a. & n.(试图使科学与宗教互相调和的)泰雅尔派(的)
teilzone,,地方带
teind,n. A tithe.,n. 什一税\nvi. 交纳什一税\nvt. 向…征收什一税
teinds,,[法] 什一税
teine,n. See Teyne., [地名] [日本] 手稻
teineite,,碲铜矾
teinodynia,,[医] 腱痛
teinte B,,[医] 色调B度(测定X线量的纸碟的色调)
teiple alkaliine,,"[医] 三联磷酸盐, 三重磷酸盐"
teitelbaum,, [人名] 泰特尔鲍姆
teitell,, [人名] 泰特尔
teitgen,, [人名] 泰金
teixeira,, [地名] [巴西、葡萄牙] 特谢拉
tej,,n. (Tej)人名；(尼)泰杰；(泰)德
teja,,"n. (Teja)人名；(塞)泰娅(女名), 泰亚；(西)特哈；(印)泰贾"
Tejano,,n. (源于墨西哥和美国得克萨斯州交界地区的)特哈诺音乐[亦作 tejano]
tejas,, [地名] [玻利维亚、古巴] 特哈斯
tejeda,, [地名] [古巴、西班牙] 特赫达
tejera,, [地名] [洪都拉斯、西班牙] 特赫拉
tejn,, [地名] [丹麦] 采恩
Tejo,,特茹河(源出西班牙东北部的塔霍河)
teju,, 树栖
tek,n. A Siberian ibex.,abbr. 流量加密金钥（Traffic Encryption Key）；技术评估套件（Technology Evaluation Kit）；传统生态知识（Traditional Ecological Knowledge）；泰怡凯公司
tekakwitha,, [人名] 特卡奎莎
teke,, [地名] [土耳其] 泰凯; [地名] [哈萨克斯坦] 铁克
tekki,,[网络] 铁骑；铁鬼；德记
tekla,,n. 一种芬兰的钢结构建筑详图绘制软件
teknonymy,,"n. 亲从子名制,因子女得名制(即父或母以""…的父""或""…的母""命名)"
tekoa,, [地名] [美国] 蒂科阿
tektite,n thought to derive from meteorites,"n. [地]熔融石,玻陨石"
tektites,n. thought to derive from meteorites,玻陨石
tektitic,,a. tektite的变形
tektonite,,构造岩
tektronix,, [医]硬拷贝装置
tel,,abbr. 试验仪器清单（Test Equipment List）
Tel Aviv,,特拉维夫(以色列港市)
Tel Aviv-Jaffa,,[网络] 特拉维夫-雅法；以色列
Tel Aviv-Yalo,,[网络] 特拉维夫 - 亚洛
tel quel,,[经] 按商品现状
tel-,," [医]终, 末, 远距"
tela,,n. <拉>[解]组织
tela adenoidea,,[医] 腺状淋巴组织
tela adiposa,,[医] 脂肪组织
tela aranea,,[医] 蜘蛛网
tela areola,,[医] 蜂窝组织
tela cellulosa,,[医] 结缔组织
tela chorioidea partis lateralis ventr,,[医] [端脑]侧室部脉络组织
tela chorioidea superior,,[医] 上脉络组织
tela chorioidea ventriculi quarti,,[医] 第四脑室脉络组织
tela chorioidea ventriculi tertii,,[医] 第三脑室脉络组织
tela conjunctiva,,[医] 结缔组织
tela depurata,,[医] 精制纱布
tela elastica,,[医] 弹性组织
tela gelatinosa,,[医] 胶状组织
tela iodoformiata,,[医] 碘仿纱布
tela lymphoidea,,[医] 淋巴组织
tela ossea,,[医] 骨组织
tela reticularis,,[医] 网状组织
tela sabmucosa,,[医] 粘膜下组织
tela salicylata,,[医] 水杨酸纱布
tela spongiosa,,[医] 海绵组织
tela subcutanea,,[医] 皮下组织
tela subendocardiaca,,[医] 心内膜下组织
tela subserosa,,[医] 浆膜下组织
tela vasculosa,,[医] 脉络丛
telae,,[医] 组织
telaesthesia,,"n. <英>[心]超常知觉,特异知觉"
telalgia,,[医] 牵涉性痛
telalginite,,结构藻类体
telamon,n a figure of a man used as a supporting column,n. 男像柱
telamones,n. pl. Same as Atlantes.,n. 男像柱( telamon的名词复数 )
telangic ocular,,[医] 远角目镜(高眼点目镜)
telangiectases,, [医]（单telangiectasis）毛细血管扩张（症）
telangiectasia,,n. 毛细管扩张\n[医] 毛细管扩张
telangiectasis,n. Dilatation of the capillary vessels.,n. 毛细管扩张\n[医] 毛细管扩张
telangiectasy,n. Telangiectasis.,n. [医]毛细管扩张
telangiectatic,,[医] 毛细管扩张的
telangiectatic cancer,,[医] 血管扩张性癌
telangiectatic cystosarcoma,,[医] 血管扩张性囊性肉瘤
telangiectatic dngioma,,[医] 毛细管扩张性血管瘤
telangiectatic fibroma,,[医] 血管纤维瘤
telangiectatic glioma,,[医] 毛细管扩张性神经胶质瘤
telangiectatic myxoma,,[医] 血管扩张性粘液瘤
telangiectatic sarcoma,,[医] 毛细管扩张性肉瘤
telangiectatic wart,,"[医] 血管扩张性疣, 血管角质瘤"
telangiectodes,,[医] 毛细管扩张的
telangiectodes neuroma,,[医] 毛细管扩张性神经瘤
telangiectoma,,[医] 毛细管瘤
telangiitis,,[医] 毛细管炎
telangioma,,[医] 毛细管瘤
telangion,,[医] 终动脉
telangiosis,,[医] 毛细管病
Telanthropus,,n. 泰尔人(指由在南非斯瓦特克朗发现的遗存化石所代表的直立人)
telantograph,,[电] 电写器
telar,,"[医] 组织的, 组织样的"
telaspyrine,,碲黄铁矿
telautogram,,n. 传真电报
telautograph,,n. 传真电报机\n[计] 传真电报机
telautography,,n. 传真电报学
telautomatics,,自动遥控机械学
telco,n a public utility that provides telephone service,abbr. telephone company 电话公司
telco building,,[网络] 电信大楼
telcomer,,[化] 嵌聚物
Telcomp,,[电] TELCOMP语言
telcos,,abbr. telephone companies 电话公司（复）
Telcoseal,,泰尔科铁镍钴合金
Telcuman,,泰尔铜锰镍合金
tele,,n. 电视
tele-,,"pref. 远, 电信\n[医] 终, 末, 远距"
tele-communication,,电信
tele-communications,plural of tele-communication,(tele-communication 的复数) 电信
tele-experimentation,,[计] 远程实验
tele-operated,,adj. 遥控的
tele-politic,,[法] 电视政治
tele-sale,,n. 电话售货；电话销售
tele-sales,plural of tele-sale,(tele-sale 的复数) n. 电话售货；电话销售
teleaction,,遥控作用
teleadjusting,,远距调整
teleammeter,,"遥测电流计, 遥控安培表"
teleangiectasis,,[医] 毛细管扩张
telearchics,,"无线电操纵飞机术, 无线电飞机操纵法"
telearometer,,远距离气压计
teleautograph,,传真电报机
teleautomatics,,"遥控自动学, 距离控制"
telebanking,,[计] 远程银行事务
telebar,,棒料自动送进装置
telebinocular,,"遥测双目镜, 矫视三棱镜"
telebit,,[计] 二进制遥测系统
teleblem,,"外菌幕, 周包膜, 菌托, 顶膜"
telebrineller,,携带式布氏硬度测定仪
telebus,,"n. 电话叫来的客车,电话叫车业务"
telecamera,,n. 电视摄影机\n[电] 电视摄像机
telecanthus,, 内眦距过宽
telecar,,收发报汽车
telecardiogram,,远距心电图
telecardiography,,远距心电描记法
telecardiophone,,[医] 远距心音听诊器
telecarietherapy,,[医] 远距居里治疗
telecast,n. a television broadcast\nv. broadcast via television,v. 电视广播\nn. 电视广播
telecasted,v broadcast via television,v. 电视广播( telecast的过去式和过去分词 )
telecaster,n. a television broadcaster,n. 电视广播员
telecasters,plural of telecaster\nn. a television broadcaster,(telecaster 的复数) n. 电视广播员
telecasting,n broadcasting visual images of stationary or moving objects\nv broadcast via television,[电] 电视广播
telecasts,n a television broadcast\nv broadcast via television,n. 电视广播( telecast的名词复数 )\nv. 电视广播( telecast的第三人称单数 )
telecenter,,远程计算中心
telecentre,, 远程计算中心
telecentric,,"a. [物]焦阑的,远心的"
teleceptive,,[医] 距离感受性的
teleceptor,,距离感受器
telechelic,,远螯
telechelic oligomer,,[化] 遥爪低聚物
telechelic polymer,,[化] 遥爪聚合物
telechiric,,远距离操纵手
telechron,,电视钟
telechson,,电话音乐
telecine,,n. 电视电影
telecine camera,,[电] 电视影片摄影机
telecine projector,,[电] 电视影片放映机
telecine transmission,,[电] 电影电视传输
telecinematography,,电视电影术
telecinesia,,"[医] 远距运动, 感应运动"
telecinesis,,"[医] 远距运动, 感应运动"
teleclass,,远距离授课
teleclinograph,,遥测钻孔偏斜仪
telecobalt,,n. [医]远距离钴疗
telecobalttherapy,,远距离钴治疗法
telecoil,,[网络] 线圈；电传线圈；电话电感
telecom,n (often plural) systems used in transmitting messages over a distance electronically,telecommunication 电信
telecom equipment,,[网络] 电信设备；通信设备；通讯设备
telecom hotel,,[网络] 铁通的
telecom system,,[网络] 电信系统
telecommand,,[计] 遥控指令
telecommerce,,[网络] 电商
telecommunicate,"v communicate over long distances, as via the telephone or e-mail","vt. 电信传递, 电传"
telecommunication,n. (often plural) systems used in transmitting messages over a distance electronically\nn. (often plural) the branch of electrical engineering concerned with the technology of electronic communication at a distance,"n. 电讯, 远距离通讯, 无线电通讯\n[计] 远程通信, 电信"
telecommunication access method,,[计] 远程通信存取法
telecommunication administration,,"[计] 远程通信管理机构, 电信局"
telecommunication channel,,[计] 远程通信信道
telecommunication code,,"[计] 远程通信码, 电信码"
telecommunication control unit,,[计] 远程通信控制器
telecommunication data link,,[计] 远程通信数据链路
telecommunication equipment,,[计] 远程通信设备
telecommunication facility,,"[计] 远程通信设施, 电信设施"
telecommunication line,,[计] 远程通信线路; 电信线路
telecommunication lines,,[法] 电信线路
telecommunication link,,[计] 远程通信链路
telecommunication network,,[计] 远程通信网络
telecommunication organization,,[计] 远程通信结构
telecommunication program,,[计] 远程通信程序
telecommunication route,,[计] 远程通信路径
telecommunication security,,[计] 远程通信保密
telecommunication software,,[计] 远程通信软件
telecommunication statement,,[计] 远程通信语句
telecommunication system,,[计] 远程通信系统
telecommunication technique,,[计] 远程通信技术
telecommunication terminal,,[计] 远程通信终端
telecommunication time,,[计] 远程通信时间
telecommunications,n (often plural) systems used in transmitting messages over a distance electronically\nn (often plural) the branch of electrical engineering concerned with the technology of electronic communication at a distance,"n. 电信, 通讯, 电信学\n[电] 电通信"
telecommunity,, 电信群体
telecommute,,vi. （利用电脑终端机）远距离工作
telecommuter,,远程工作者
telecommuters,,n. （在家通过电话和电脑与共事者联系的）远距离工作者( telecommuter的名词复数 )
telecommuting,n. employment at home while communicating with the workplace by phone or fax or modem,"[计] 远程交换, 电信工作方式"
telecompass,,远距离罗盘
telecomputer,,[计] 远程计算机
telecomputing,,[计] 远程计算
telecoms,n (often plural) systems used in transmitting messages over a distance electronically, 电信
telecon,,"n. 电话会议, 电报会议"
teleconference,n. a conference of people who are in different locations that is made possible by the use of such telecommunications equipment as closed-circuit television,"[计] 电信会议, 远程会议"
teleconferences,,n. 远程电信会议( teleconference的名词复数 )
teleconferencing,n a conference of people who are in different locations that is made possible by the use of such telecommunications equipment as closed-circuit television,"[计] 召开远程会议, 电话会议"
teleconnection,,n. [地](纹泥或其他沉积物的)远程并置对比(用于确定年代)
teleconsultation,,n. [医](用遥测设备、闭路电视等进行的)远距离会诊
telecontrol,,"n. 遥控, 远距离控制\n[计] 遥控, 远程控制"
telecontroller,,"[计] 遥控器, 远距离控制器"
telecontrolling,,"[计] 遥控, 远距离控制"
teleconverter,,n. [摄]望远倍率镜
