word,definition,translation
quality accounting,,[经] 质量会计
quality arbitration,,[化] 质量检定
quality as per seller's sample,,[经] 凭卖(买)方权品质量交货质
quality assurance,,[计] 质量保证\n[化] 质量保证
quality assurance data system,,[计] 质量保证数据系统
quality assurance program,,[计] 质量保证程序
quality assurance provisions,,[计] 质量保证规定
quality assurance requirements,,[计] 质量保证要求
quality assured system,,[计] 质量保证系统
quality certificate,,[经] 品质证明书
quality circle,, 质量攻关会议； 质量（管理）小组
quality control,,"[计] 质量控制, 质量管理\n[化] 质量管理; 质量检查"
quality control and reliability,,[经] 质量管理和可靠性
quality control chart,,[计] 质量控制图表
quality control circle activity,,[经] 质量管理范围的活动
quality control cost,,[经] 质量管理(控制)成本
quality control division,,[化] 质量检查科
quality control group,,[经] 质量管理小组
quality control in automation,,[计] 自动化质量管理
quality control system,,[计] 质量控制系统\n[化] 质量管理制度
quality controller,, 质量控制员
quality diagnostics,,[计] 质量诊断
quality distortion,,[电] 音质失真
quality engineering,,[计] 质量工程
quality factor,,"[计] 质量因数, 品质因数\n[化] 品质因数; 品质因子"
quality factor meter,,[电] 性质因数计
quality first,,[经] 质量第一
quality function,,[经] 质量职能
quality guarantee,,[经] 保证质量
quality index,,[电] 品质指数
quality index number,,[经] 质量指数
quality inspection,,[化] 质量检查; 质量检验
quality inspection certificate,,[化] 质量检查证明书
quality landed,,[经] 卸岸品质
quality latitude,,[经] 质量幅度
quality level,,[化] 质量标准\n[经] 质量水准
quality metric,,[计] 质量度量
quality newspaper,, （供有品位者阅读的）高端报纸
quality of conformation,,[经] 符合质量
quality of design,,[经] 设计质量
quality of fit,,[机] 配合等级
quality of life,, 基本生活条件
quality of product,,[化] 产品质量
quality of reception,,[计] 接收质量
quality of speech,,[计] 话音质量
quality of transmission,,[计] 传输质量
quality part,,[化] 合格品
quality point,, 质量点数
quality product list,,[计] 优质产品目录
quality program requirements,,[计] 质量规划要求
quality protection,,[经] 质量保护
quality rating,,[经] 资信等级
quality ratio,,[经] 质量比率
quality reliability assurance,,[计] 质量可靠保证
quality requirement,,[计] 质量要求
quality requirements,,[经] 质量要求
quality restrictions,,[经] 质量限制
quality review board,,[经] 质量评审(检查)委员会(会议)
quality shipped,,[经] 装船品质
quality specification,,[化] 质量标准; 质量规格
quality specifications,,[经] 质量规格
quality standard,,[计] 质量标准\n[化] 质量规格; 质量标准
quality standards,,[经] 质量标准
quality steel,,[化] 优质钢
quality steels,,[化] 优质钢
quality stock,,[经] 优级股票
quality test,,[经] 质量检验
quality time,, 珍贵时间（尤指与年幼的子女参加社会活动的时间）
quality-mind,,产品质量
qualixing line,,[机] 均压管
qualled,imp. & p. p. of Quail,abbr. qualification；qualified
qualling,p. pr. & vb. n. of Quail,abbr. qualification；qualified
qualls,, [人名] 奎尔斯
qualltative,,"[医] 性质的, 定性的, 品质的"
qualm,n uneasiness about the fitness of an action\nn a mild state of nausea,"n. 晕眩, 不安, 疑虑\n[法] 疑虑, 不安, 内疚"
qualmish,a. Sick at the stomach; affected with nausea or sickly\n   languor; inclined to vomit.,"a. 使人恶心的, 不安的, 疑惧的"
qualmishly,,adv. qualmish的变形
qualmishness,,n. qualmish的变形
qualms,n uneasiness about the fitness of an action\nn a mild state of nausea,n. 良心之谴责；不安
qualmy,,a. qualm的变形
qualtrough,, [人名] [马恩岛人姓氏] 夸尔特罗盖尔语姓氏的词首元音脱落，取自父名，来源于教名Walter+形容词后缀agh
qualudes,"A popular recreational drug of the 60s and 70s.  Quaaludes (Methaqualone) are a group of CNS depressants classed as ""hypnotic sedatives"" with a similar effect to alcohol.  Effects are sedation, decrease in anxiety, loosening of inhibitions, and loss of balance. Some people experience pleasant body effects. Side effects include disorientation, extreme sedation/sleep, grogginess the next day, and memory loss. One should be careful not to combine quaaludes or benzodiazepines with alcohol or other CNS depressants (opiates, ghb, etc). They are synergistic drugs and can greatly amplify the effects and side effects of each drug, and cause extreme illnes and possibly death. The manufacture of quaaludes was ceased in the early 80s due to drug abuse.\n> Doctors used to prescribe qualudes for anxiety.\n",
quamash,n any of several plants of the genus Camassia; North and South America,n. 北美产的百合科植物
Quamassia,,[网络] 夸马西亚
quamdiu,,"[法] 迟至, 在...期间, 达...之久"
quamdiu se bene gesserit,,[法] 品行端正期间
quamdiu tenure,,"[法] 终身任期, 终身任职"
Quamoclit pennata,,[网络] 茑萝；羽叶茑萝；茑萝松
quan,,n. 全（中国姓氏）
quanah,, [地名] [美国] 夸纳
quandang,n Australian tree with edible flesh and edible nutlike seed\nn red Australian fruit; used for dessert or in jam,n. [植]檀香科树木(产于澳洲)
quandaries,pl.  of Quandary,n. 窘困( quandary的名词复数 ); 不知所措; 左右为难
quandary,n a situation from which extrication is difficult especially an unpleasant or trying one\nn state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options,"n. 困惑, 迷惑, 为难"
quando,,"[法] 当...时, 任何时候, 因为"
quando acciderint,,[法] 将来发生的时候
quandong,n Australian tree with edible flesh and edible nutlike seed\nn the fruit of the Brisbane quandong tree\nn Australian tree having hard white timber and glossy green leaves with white flowers followed by one-seeded glossy blue fruit\nn red Australian fruit; used for dessert or in jam,n. [植]檀香科树木(产于澳洲)
quandong nut,,[网络] 山东坚果
quandong tree,,[网络] 泉东树
quandt,, [人名] 匡特
quango,n. a quasi nongovernmental organization; an organization that is financed by the government yet acts independently of the government,"n. 半独立国家的政府组织, 半官方机构"
quangoland,,[网络] 夸兰兰
quangos,plural of quango\nn. a quasi nongovernmental organization; an organization that is financed by the government yet acts independently of the government,"(quango 的复数) n. 半独立国家的政府组织, 半官方机构"
quant,n. A punting pole with a broad flange near the end to prevent\n   it from sinking into the mud; a setting pole.,n. 篙\nv. 用篙撑
Quant's sign,,[医] 宽特氏征(佝偻病的枕骨丁字形凹陷)
quanta,n a discrete amount of something that is analogous to the quantities in quantum theory\nn (physics) the smallest discrete quantity of some physical property that a system can possess (according to quantum theory),"pl. 量, 量子\n[医] 量子, 量"
quantacon,,量子光电倍增管
quantal,a of or relating to a quantum or capable of existing in only one of two states,"a. （实验中）仅有两种可能的； 量子的, 量子论的"
quantal summation,,[医] 量总和
quantameter,,光量子能量测定器
quantas,plural of quanta\nn a discrete amount of something that is analogous to the quantities in quantum theory\nn (physics) the smallest discrete quantity of some physical property that a system can possess (according to quantum theory),"(quanta 的复数) pl. 量, 量子\n[医] 量子, 量"
quantasome,,"n. [植]量子(换能)体,光能转化体"
quanti-Pirquet reaction,,[医] 定量披尔奎氏反应(结核菌素定量皮上划痕法)
quantic,n. a homogeneous polynomial having at least two variables,n. 多元齐次多项式
quantico,, [地名] [美国] 匡蒂科
Quanticon,,光导式摄象管
quantifiability,n the quality of being measurable,可定量的性质或状态
quantifiable,s. capable of being quantified,a. 可以计量的
quantifiably,, 可以量化地（quantify的变体）; 可以用数量表示地（quantify的变体）
quantificat,,n. 数量化;量化
quantification,n. a limitation imposed on the variables of a proposition (as by the quantifiers `some' or `all' or `no')\nn. the act of discovering or expressing the quantity of something,"[计] 量化, 定量\n[经] 定量比率"
quantification theory,,[计] 量词化理论
quantificational,,a. 定量（化）的
quantificationally,,adv. 定量（化）地
quantifications,plural of quantification\nn. a limitation imposed on the variables of a proposition (as by the quantifiers `some' or `all' or `no')\nn. the act of discovering or expressing the quantity of something,"(quantification 的复数) [计] 量化, 定量\n[经] 定量比率"
quantified,v use as a quantifier\nv express as a number or measure or quantity,v. 确定…的数量( quantify的过去式和过去分词 )
quantified system analysis,,[计] 定量系统分析
quantifier,n. (logic) a word (such as `some' or `all' or `no') that binds the variables in a logical proposition\nn. (grammar) a word that expresses a quantity (as `fifteen' or `many'),"n. 数量词, 精于计算的人\n[计] 量词"
quantifier-free conjunctive-normal form,,[计] 自由量词合取范式
quantifiers,plural of quantifier\nn. (logic) a word (such as `some' or `all' or `no') that binds the variables in a logical proposition\nn. (grammar) a word that expresses a quantity (as `fifteen' or `many'),"(quantifier 的复数) n. 数量词, 精于计算的人\n[计] 量词"
quantifies,v use as a quantifier\nv express as a number or measure or quantity,v. 确定…的数量( quantify的第三人称单数 )
quantify,v. use as a quantifier\nv. express as a number or measure or quantity,"vt. 定量, 用数量表示, 测量"
quantifying,v use as a quantifier\nv express as a number or measure or quantity,n. 定量法
quantile,,n. 分位数；分位点
quantiles,-s form of quantile,(quantile 的第三人称 -s形式) n. 分位数；分位点
Quantimet,,定量电视显微镜
quantimeter,,[医] X线量计
quantisation,n. the act of dividing into quanta or expressing in terms of quantum theory, 量子化
quantisations,plural of quantisation,(quantisation 的复数)  量子化
quantise,v approximate (a signal varying continuously in amplitude) by one whose amplitude is restricted to a prescribed set of discrete values\nv apply quantum theory to; restrict the number of possible values of (a quantity) or states of (a physical entity or system) so that certain variables can assume only certain discrete magnitudes that are integral multiples of a common factor,vt.<主英> = quantize
quantised,past participle of quantise\nv approximate (a signal varying continuously in amplitude) by one whose amplitude is restricted to a prescribed set of discrete values\nv apply quantum theory to; restrict the number of possible values of (a quantity) or states of (a physical entity or system) so that certain variables can assume only certain discrete magnitudes that are integral multiples of a common factor,(quantise 的过去分词) vt.<主英> = quantize
quantises,-s form of quantise\nv approximate (a signal varying continuously in amplitude) by one whose amplitude is restricted to a prescribed set of discrete values\nv apply quantum theory to; restrict the number of possible values of (a quantity) or states of (a physical entity or system) so that certain variables can assume only certain discrete magnitudes that are integral multiples of a common factor,(quantise 的第三人称 -s形式) vt.<主英> = quantize
quantisty,,"[机] 量, 分量"
quantisty of flow,,[机] 流量
quantisty of heat,,[机] 热量
quantisty of state,,[机] 状态量
quantitaes,,数量表示
quantitate,,"vt. 测定...的数量, 用数量表示, 估计...的数量\n[医] 定量"
quantitated,past participle of quantitate,"(quantitate 的过去分词) vt. 测定...的数量, 用数量表示, 估计...的数量\n[医] 定量"
quantitating,-ing form of quantitate,"(quantitate 的现在分词) vt. 测定...的数量, 用数量表示, 估计...的数量\n[医] 定量"
quantitation,," [医]定量, 测数量; 作定量估计"
quantitative,a. expressible as a quantity or relating to or susceptible of measurement\na. relating to the measurement of quantity\na. (of verse) having a metric system based on relative duration of syllables,"a. 数量的, 定量的\n[医] 定量的, 数量的"
quantitative alteration,,[医] 量变
quantitative analysis,,[化] 定量分析\n[医] 定量分析\n[经] 数量分析
quantitative analysis in decision making,,[经] 决策中的定量分析
quantitative analysis method,,[计] 定量分析方法
quantitative analyst,,[网络] 定量分析师；量化分析师；数量分析师
quantitative aspects,,[经] 数量方面
quantitative attribute,,[计] 数量特证
quantitative chemical analysis,, 化学定量分析
quantitative composition,,[化] (试样的)定量组成
quantitative credit restriction,,[经] 信贷数量限制
quantitative criteria,,[计] 定量标准
quantitative data,,[经] 数据
quantitative directives,,[经] 数量指令
quantitative easing,,量化宽松
quantitative economic policy and planning,,[经] 数量经济政策和计划
quantitative economics,,[经] 数量经济
quantitative factors,,[经] 数量因素
quantitative filter paper,,[医] 定量滤纸
quantitative inheritance,, 数量遗传
quantitative limitation,,[经] 数量的限制
quantitative management,,[经] 数量管理
quantitative management method,,[计] 定量管理法
quantitative microscope,,[医] 定量显微镜
quantitative relation,, 定量[数量]关系
quantitative restriction,,[经] 数量限制
quantitative shape recovery,,[计] 定量形状恢复
quantitative solution,,[经] 数量(定量)解法
quantitative spectrometric analysis,,[化] 光谱定量分析
quantitative technique,,[计] 定量技术\n[经] 定量技术
quantitative test,,[化] 定量试验
quantitative theory,,[计] 定量理论
quantitative trade quota,,[经] 贸易配额
quantitative trade restriction,,[经] 贸易数量限制
quantitative value,,[经] 数值
quantitative vision,,[医] 定量视觉(只有光觉的视力)
quantitatively,r. in a quantitative manner,"adv. 量, 数量上, 定量"
quantitativeness,, 定量
quantities,n how much there is or how many there are of something that you can quantify\nn an adequate or large amount\nn the concept that something has a magnitude and can be represented in mathematical expressions by a constant or a variable,"n. 数量, 工程量；[音]音符长度（quantity的复数）"
quantities of,,"大量的,许多…"
quantitive,a. Estimable according to quantity; quantitative.,"a. 数量的, 定量的"
quantitive change,,[法] 量变
quantitively,adv. So as to be measurable by quantity; quantitatively., 数量上
quantity,n. an adequate or large amount\nn. the concept that something has a magnitude and can be represented in mathematical expressions by a constant or a variable,"n. 量, 数量, 总量\n[计] 数量; 量"
quantity added to,,[化] 加入量
quantity adjuster,,"[经] 数量调整者, 数量调整器"
quantity buying,,"[经] 定额购买, 大量购买"
quantity control,,"[经] 数量控制, 数量管理"
quantity delivered,,"[经] 交付数量, 供给数量"
quantity determination,,[经] 数量确定
quantity discount,,"[经] 数量折扣, 大宗交易的折扣, 定量贴现"
quantity equation,,[经] 货币量公式
quantity list,,[经] 工程量表
quantity meter,,[化] 累计总量表
quantity of contribution,,[法] 分担额
quantity of documents,,[计] 文件数量
quantity of electricity,,[电] 电量
quantity of employment,,[法] 就业人数
quantity of forecasted stock,,[经] 预测存储量
quantity of information,,[计] 信息量
quantity of light,,[电] 光量
quantity of magnetism,,[电] 磁量
quantity of money,,[经] 货币数量
quantity of order,,[经] 定单数量
quantity of output,,"[经] 出产量, 输出量, 供给量"
quantity of radiant energy,,[医] 辐射能量
quantity of reflux,,[化] 回流量
quantity of sale,,"[经] 销售量, 销货数量"
quantity of shipments,,"[经] 发运量, 货运量, 发运货物数量"
quantity of total demand,,[经] 总需求量
quantity of work,,"[经] 工作量, 作业量"
quantity per pack,,[化] 每包数量
quantity production,,"[经] 大量(连续)生产, 大批生产, 批量生产"
quantity rebate,,"[经] 批发折扣, 大量采购时的减价"
quantity requested,,[经] 申请量
quantity schedule,,[经] 数量明细表
quantity sheet,,[经] 工程数量(工作量)表
quantity shipped,,"[经] 装船数量, 装运数量"
quantity standards,,[经] 数量标准
quantity surveyor,,"[经] (建筑)估料师, 数量鉴定人, 预算师"
quantity theory,," 数量学说, 量子论"
quantity theory of money,,[经] 货币数量学说
quantity unit,,[网络] 数量单位
quantity variance,,[经] 数量差异
quantity-built,,成批生产的
quantivalence,n. Valence.,n. [化] 原子价
quantivalency,,化合价
quantivalent,a. Of or pertaining to quantivalence.,多价的
quantization,n. the act of dividing into quanta or expressing in terms of quantum theory,n. 量子化\n[计] 量子化
quantization distortion,,[电] 量子化失真
quantization error,,[计] 量化误差
quantization level,,[电] 量子化水平
quantization noise,,[计] 量化噪声
quantize,v. approximate (a signal varying continuously in amplitude) by one whose amplitude is restricted to a prescribed set of discrete values\nv. apply quantum theory to; restrict the number of possible values of (a quantity) or states of (a physical entity or system) so that certain variables can assume only certain discrete magnitudes that are integral multiples of a common factor,vt. 使量子化\n[计] 量化
quantized,v approximate (a signal varying continuously in amplitude) by one whose amplitude is restricted to a prescribed set of discrete values\nv apply quantum theory to; restrict the number of possible values of (a quantity) or states of (a physical entity or system) so that certain variables can assume only certain discrete magnitudes that are integral multiples of a common factor\na of or relating to a quantum or capable of existing in only one of two states,a. 量化的；量子化的
quantized interval,,[计] 量化间隔
quantized pulse modulation,,[电] 量化脉冲调变
quantizer,,n. 数字转换器\n[计] 量化器
quantizes,v approximate (a signal varying continuously in amplitude) by one whose amplitude is restricted to a prescribed set of discrete values\nv apply quantum theory to; restrict the number of possible values of (a quantity) or states of (a physical entity or system) so that certain variables can assume only certain discrete magnitudes that are integral multiples of a common factor,v. 使量子化( quantize的第三人称单数 )
quantizing,v approximate (a signal varying continuously in amplitude) by one whose amplitude is restricted to a prescribed set of discrete values\nv apply quantum theory to; restrict the number of possible values of (a quantity) or states of (a physical entity or system) so that certain variables can assume only certain discrete magnitudes that are integral multiples of a common factor,n. 量（子）化\nv. 使量子化( quantize的现在分词 )
quantometer,,[机] 定量仪
quanton,,[网络] 量子
quantong,,n. 框档树； 框档果
quantophrenia,,n. (尤指在社会科学的研究方面) 迷信数量分析
quantorecorder,,"光量计, 辐射强度测量计, 光子计数器"
quantrell,, [人名] 匡特雷尔
quantrill,," [人名] [英格兰人姓氏] 匡特里尔绰号，时髦的或优雅的人，来源于中世纪英语、古法语，含义是“有技巧的，引人注目的”(skilled,attractive)"
quantum,n. a discrete amount of something that is analogous to the quantities in quantum theory\nn. (physics) the smallest discrete quantity of some physical property that a system can possess (according to quantum theory),"n. 量, 量子\n[计] 量子"
quantum biology,,[化] 量子生物学
quantum biophysics,,[化] 量子生物物理学
quantum chemistry,,[化] 量子化学
quantum chromodynamics,, 量子色动力学
quantum clock,,[计] 量子钟
quantum computer,,[计] 量子计算机
quantum constant,,[医] 量子常数
quantum contract,,[经] 数量合同
quantum crystal,,[化] 量子晶体
quantum damnificatus,,"[法] 损害估计额, 损害额"
quantum effect,,[化] 量子效应
quantum efficiency,,[化] 量子效率
quantum electrodynamics,,n. 量子电动力学
quantum electronics,,[计] 量子电子学
quantum energy,,[化] 量子辐射能; 光子能
quantum field theory,, 量子场论
quantum jump,,"n. 量子跃迁, <喻>跃进, 巨大突破"
quantum leap,,大飞跃
quantum length,,[化] 德布罗意热波长
quantum libet,,[医] 任意量
quantum mechanical,, 量子力学的
quantum mechanical operators,,[化] 量子力学算符
quantum mechanical postulates,,[化] 量子力学假设
quantum mechanical state,,[化] 量子态
quantum mechanics,,[计] 量子力学\n[化] 量子力学
quantum meruit,,[经] 应酬金额
quantum noise,,[电] 量子杂音
quantum number,,[计] 量子数\n[化] 量子数
quantum of interest,,"[经] 利益份额, 利益总量"
quantum of international trade,,[经] 国际贸易总量
quantum of light,,[医] 光量子
quantum of time,,"[计] 时间量子, 时间片"
quantum optics,,[化] 量子光学
quantum partition function,,[化] 量子配分函数
quantum physics,,量子物理学
quantum placeat,,[医] 任意量
quantum satis,,"[医] 适量, 足量"
quantum scattering,,[医] 量子散射
quantum state,,[化] 量子态
quantum statistics,,[化] 量子统计法
quantum sufficit,, 足量
quantum theory,,量子论\n[计] 量子论
quantum theory of valence,,[机] 价的量子理论
quantum transition,,[化] 量子跃迁
quantum unit,,[医] 量子单位
quantum valeat,,[网络] 量子值
quantum valebant,,[法] 按值付价
quantum valebat,, [法]支付合理价格原则
quantum vis,,[医] 适量
quantum yield,,[化] 量子产率
quantum yield of luminscence,,[化] 光量子产额
quantum-mechanical,,a. 量子力学的
quantum-oriented discipline,,[计] 面向量程的规则
quantum-well material,,[化] 量子阱材料
quantum-well materials,,[化] 量子阱材料
Quanzhou,,泉州\n泉州开元寺
Quaoar,,[网络] 夸欧尔；夸瓦尔；夸奥瓦
quap,v. i. To quaver.,n. [核]夸普(一种假设的含有一个反质子和一个夸克的核粒子)
Quapaw,,[网络] 夸保；夸保族；夸保人
quaquaversal,"a. Turning or dipping in any or every direction.\na. Dipping toward all points of the compass round a\n   center, as beds of lava round a crater.",a. (地层和地质构造)穹形的
quaque hora,,[医] 每小时
quar,n. A quarry.,"abbr. quarter 四分之一; quarterly 季刊; quarantive 检疫（处）; quart 夸脱（英美容量单位, 等于1/4加仑）"
quarantinable,,"a. 应受检疫的, 应隔离的"
quarantine,"n. enforced isolation of patients suffering from a contagious disease in order to prevent the spread of disease\nn. isolation to prevent the spread of infectious disease\nv. place into enforced isolation, as for medical reasons","n. 隔离, 封锁交通, 检疫期\nvt. 隔离, 排斥"
quarantine agency,,[法] 检疫机关
quarantine anchorage,,[经] 检疫锚地
quarantine buoy,,[法] 检疫锚地浮标
quarantine certificate,,[法] 检疫证明书
quarantine conditions,,[法] 检疫条件
quarantine declaration,,[经] 检疫申报单
quarantine drain,,[医] 隔离引流管
quarantine flag,,[法] 检疫旗
quarantine measure,,[法] 检疫措施
quarantine notice,,[法] 检疫通知单
quarantine officer,,[医] 交通检疫员
quarantine peried,,[法] 检疫期间
quarantine period,,"[医] 检疫期, 留验期"
quarantine port,,[法] 检疫港
quarantine range,,[法] 检疫范围
quarantine restrictions,,[经] 检疫管制
quarantine signal,,[法] 检疫信号
quarantine station,,[医] 交通检疫站
quarantined,"v place into enforced isolation, as for medical reasons\ns under forced isolation especially for health reasons",v. 对…进行检疫隔离( quarantine的过去式和过去分词 )
quarantines,"n enforced isolation of patients suffering from a contagious disease in order to prevent the spread of disease\nn isolation to prevent the spread of infectious disease\nv place into enforced isolation, as for medical reasons",v. 对…进行检疫隔离( quarantine的第三人称单数 )
quarantining,"v place into enforced isolation, as for medical reasons",v. 对…进行检疫隔离( quarantine的现在分词 )
quard,,卫兵
quare,,"[法] 所以, 因此, 因...理由"
quare clausum,,"[法] 侵入私地, 为什麽迁入原告围场"
quarenden,,n. 红苹果
quarer day,,四季结帐日
quarice,,"夸冰, 再生冰"
quaritch,, [人名] 夸里奇
quark,"n. (physics) hypothetical truly fundamental particle in mesons and baryons; there are supposed to be six flavors of quarks (and their antiquarks), which come in pairs; each has an electric charge of +2/3 or -1/3",n. 夸克\n[化] 夸克
quark cheese,,[网络] 夸克干酪；夸克奶酪；夸克芝士
quarkonics,,夸克学
quarks,"n. (physics) hypothetical truly fundamental particle in mesons and baryons; there are supposed to be six flavors of quarks (and their antiquarks), which come in pairs; each has an electric charge of +2/3 or -1/3\nn. fresh unripened cheese of a smooth texture made from pasteurized milk, a starter, and rennet",n. 夸克（构成原子的最小粒子）( quark的复数形式 )
quarle,,大块耐火砖
Quarles,,夸尔斯(姓氏)
quarntum limit,,"[医] 量子度, 最短波长"
quarrel,n. an angry dispute\nn. an arrow that is shot from a crossbow; has a head with four edges\nv. have a disagreement over something,"n. 吵架, 反目, 怨言, 方头凿\nvi. 吵架, 争论, 挑剔"
quarrel about,,为…而争吵
quarrel with,,跟...吵架
quarrel with one's own shadow,,无事生气
quarrel with Province,,"埋怨上帝,怨天尤人"
quarrel with sb,,与某人吵架
quarrel with sb about sth,,就(某事)跟(某人)争吵/争论
quarrel with sb over sth,,就(某事)跟(某人)争吵/争论
quarreled,imp. & p. p. of Quarrel,"vi. 争辩, 争吵（quarrel的过去式与过去分词形式）"
quarreler,n. a disputant who quarrels,"n. 争吵者, 吵架者"
quarreling,v have a disagreement over something,"vi. 争辩, 争吵（quarrel的现在分词形式）"
quarrell,," [人名] [英格兰人姓氏] 夸勒尔职业名称，弩箭制作者或绰号，矮而粗壮者来源于中世纪英语、古法语，含义是“弩箭”(bolt for a crossbow); [人名] [英格兰人姓氏] 夸勒尔绰号，惹是生非者，来源于中世纪英语、古法语，含义是“怨言，非难”(complaint,accusation)"
quarrelled, of Quarrel,"vi. 争辩, 争吵（quarrel的过去式与过去分词形式）"
quarreller,n a disputant who quarrels,"n. 争吵者, 吵架者"
quarrelling, of Quarrel, 吵架(quarrel的现在进行式); 争论
quarrels,n an angry dispute\nn an arrow that is shot from a crossbow; has a head with four edges\nv have a disagreement over something,"n. 争吵, 不和, 口角( quarrel的名词复数 ); 抱怨…的原因[理由]"
quarrelsome,s. given to quarreling,"a. 喜欢吵架的, 好争论的"
quarrelsomely,,"adv. 好争吵, 爱争论, 好争论, 常常争吵"
quarrelsomeness,n. an inclination to be quarrelsome and contentious,n. 喜吵架
quarriable,,可以露天采掘的
quarried,v extract (something such as stones) from or as if from a quarry,v. 从采石场采得( quarry的过去式和过去分词 ); 从（书本等中）努力发掘（资料等）; 在采石场采石
quarrier,n a man who works in a quarry,"n. 采石工人, 凿石匠"
quarriers,plural of quarrier\nn a man who works in a quarry,"(quarrier 的复数) n.采石工人, 凿石匠"
quarries,pl.  of Quarry,"n. （采）石场( quarry的名词复数 ); 猎物（指鸟, 兽等）; 方形石; （格窗等的）方形玻璃\nv. 从采石场采得( quarry的第三人称单数 ); 从（书本等中）努力发掘（资料等）; 在采石场采石"
quarrion,,n. [鸟]澳洲鸡尾鹦鹉(灰色羽衣上有黄斑和白斑)
quarry,v. extract (something such as stones) from or as if from a quarry,"n. 采石场, 方形石, 猎物, 被追求物, 来源\nvt. 挖出, 努力挖掘\nvi. 费力地找"
quarry marble,,开採大理石
quarry sand,,[机] 坑砂
quarry tile,,[化] 缸砖
quarry-faced,a. Having a face left as it comes from the quarry and\n   not smoothed with the chisel or point; -- said of stones.,a. (石料)粗面的
quarrying,n. the extraction of building stone or slate from an open surface quarry,v. 采石
quarryman,n. a man who works in a quarry,n. 采石工
quarrymaster,,露天打眼设备; 露天矿钻机
quarrymen,pl.  of Quarry-man,"n. 采石工, 凿石匠( quarryman的名词复数 )"
quarrystone,,粗石
quarryville,, [地名] [加拿大、美国] 阔里维尔
quart,n. a United States liquid unit equal to 32 fluid ounces; four quarts equal one gallon\nn. a British imperial capacity measure (liquid or dry) equal to 2 pints or 1.136 liters\nn. a United States dry unit equal to 2 pints or 67.2 cubic inches,n. 夸脱\n[医] 夸脱(四分之一加仑)
quarta antonina,,[法] 继承遗产四分之一
quartal,,a. [音](和声)以四度音程为基础的
quartan,n. a malarial fever that recurs every fourth day\na. occurring every fourth day (especially the fever and weakness of malaria),a. 每第四天复发的\nn. 三日症
quartan ague,,[医] 三日疟
quartan fever,,"[医] 三日热, 三日疟, 四日两头疟"
quartan parasite,,[医] 三日疟原虫
quartans,plural of quartan\nn. a malarial fever that recurs every fourth day\na. occurring every fourth day (especially the fever and weakness of malaria),(quartan 的复数) a. 每第四天复发的\nn. 三日症
quartation,"n. The act, process, or result (in the process of parting)\n   of alloying a button of nearly pure gold with enough silver to reduce\n   the fineness so as to allow acids to attack and remove all metals\n   except the gold; -- called also inquartation. Compare Parting.",n. 析银法
quarte,"n. A position in thrusting or parrying, with the inside of the\n   hand turned upward and the point of the weapon toward the adversary's\n   right breast.\nn. Same as 2d Carte.",n. （击剑）第4姿势；（纸牌）四张同花顺
quarte-wave choke,,[电] 四分之一波长扼流线圈
quarte-wave line,,[电] 四分之一波长线
quarte-wave matching section,,[电] 四分之一波长匹配段
quarte-wave plate,,[电] 四分之一波长屏
quarte-wave resonance,,[电] 四分之一波长共振
quarte-wave stub,,[电] 四分之一波长拉线
quarte-wave support,,[电] 四分之一波长支持
quarte-wave termination,,[电] 四分之一波长端点
quarte-wave transformer,,[电] 四分之一波长变量器
quarte-wave transmission line,,[电] 四分之一波长输送线
quarte-wavelength,,[电] 四分之一波长
quartel,,林斑
quarter,"n. a district of a city having some distinguishing character\nn. (football, professional basketball) one of four divisions into which some games are divided\nn. a unit of time equal to 15 minutes or a quarter of an hour\nn. one of four periods into which the school year is divided","n. 四分之一, 一刻钟, 季度, 地区\nvt. 四等分, 肢解\nvi. 驻扎, 住宿"
quarter allowance,,[经] 季度津贴
quarter at,,驻扎在
quarter binding,,皮脊硬面装订
quarter cast,,[医] 四分之一修掉(马蹄)
quarter crack,,[医] 马蹄裂
quarter day,,"季度结帐日\n[经] 季度的第一天, 季度结帐日"
quarter evil,,"[医] 气肿性炭疽, 黑腿病"
quarter finals,,四分之一半决赛
quarter grain,,[机] 木纹
quarter horse,,参加四分之一英里竞赛的赛马
quarter hour,,一刻钟
quarter life crisis,, [电影]四分之一的生命危机
quarter mile,, [体]四分之一英里赛跑
quarter note,,n. 四分音符
quarter occlusal rest,,[医] 四分之一й支托
quarter oneself upon sb,,同某人住在一起
quarter phase,,[化] 两相的; 双相的; 二相的
quarter phase system,,[计] 四相制
quarter pipe,,[网络] 四分之一管做单次回旋；船尾导缆孔；起跑台
quarter plate,,na. 【摄】照相干片；同尺寸的照片
quarter pound,,[网络] 分之一磅
quarter rest,, 四分休止符
quarter round,, 四分之一圆，象限圆饰，四分之一周缘饰
quarter section,,n. 约160英亩大的土地（约为四分之一平方哩）
quarter session,,季审法庭;地方法庭
quarter sessions,,"地方法庭\n[法] 季审法庭, 地方法院"
quarter size,,[机] 四分之一大小
quarter speed,,[计] 四分之一速度
quarter square multiplier,,[计] 四分之一平方乘法器
